MSSubClass,LotArea,OverallQual,OverallCond
20,11622,5,6
20,14267,6,6
60,13830,5,5
60,9978,6,6
120,5005,8,5
60,10000,6,5
20,7980,6,7
60,8402,6,5
20,10176,7,5
20,8400,4,5
120,5858,7,5
160,1680,6,5
160,1680,5,5
160,2280,6,6
120,2280,7,6
60,12858,9,5
20,12883,8,5
20,11520,9,5
20,14122,8,5
20,14300,9,5
60,13650,8,5
120,7132,8,5
20,18494,6,5
120,3203,7,5
80,13300,7,5
60,8577,7,5
60,17433,8,5
20,8987,8,5
20,9215,7,5
20,10440,6,5
60,11920,7,5
30,9800,5,5
20,15410,6,6
60,13143,8,5
60,11134,8,5
120,4835,7,5
160,3515,7,5
160,3215,7,5
160,2544,7,5
160,2544,6,5
160,2980,6,5
160,2403,7,5
20,12853,8,5
60,7379,8,5
20,8000,7,5
20,10456,6,6
60,10791,6,5
50,18837,6,5
60,9600,6,6
20,9600,5,5
20,9900,5,5
20,9680,5,6
80,10600,6,5
90,13260,5,6
50,9724,5,7
50,17360,6,6
85,11380,6,8
90,8267,5,5
20,8197,7,5
20,8050,5,5
20,10725,5,5
20,10032,6,5
50,8382,4,5
20,10950,5,7
20,10895,5,6
190,13587,5,5
30,7898,4,7
50,8064,6,8
20,7635,5,6
20,9760,6,7
50,4800,4,5
30,4485,5,7
20,5805,5,7
45,6900,6,7
50,11851,5,7
50,8239,5,6
30,9656,2,2
70,9600,8,9
70,9000,8,9
190,9045,5,3
70,10560,6,7
50,5830,5,6
75,7793,7,7
30,5000,4,7
50,6000,6,7
50,6000,6,6
50,6360,5,6
50,6000,6,7
50,6240,5,7
50,6240,5,5
30,6120,6,5
50,8094,4,5
70,12900,6,8
70,3068,6,8
20,15263,5,5
50,10632,5,3
190,9900,5,4
50,6001,6,5
70,6449,4,1
190,6048,5,7
90,10773,4,3
20,7800,5,7
20,7832,5,5
90,7424,5,5
60,11227,5,5
20,20062,7,7
30,9259,4,4
60,17082,6,5
50,18600,3,4
20,11479,6,7
50,9350,4,6
20,9525,5,7
20,17485,7,5
20,11200,5,3
20,11980,7,5
60,12361,6,7
20,7360,7,5
50,14235,6,8
85,11105,5,5
60,9337,7,5
20,15240,5,8
20,7480,5,6
20,10389,8,5
60,9375,7,5
120,4435,6,5
30,8777,3,6
20,8842,5,6
20,10044,5,6
50,11792,4,5
80,6305,6,6
20,6410,4,5
30,4853,5,6
30,7890,6,6
90,7200,4,6
50,9839,5,2
50,10452,7,6
90,15600,5,6
80,19645,7,6
120,3907,8,6
120,3907,8,5
30,8154,2,5
50,9140,6,5
