MSSubClass,LotArea,OverallQual,OverallCond,SaleStatus
60,8450,7,5,SoldFast
20,9600,6,8,SoldFast
60,11250,7,5,SoldFast
70,9550,7,5,SoldFast
60,14260,8,5,SoldFast
50,14115,5,5,SoldSlow
20,10084,8,5,SoldFast
60,10382,7,6,SoldFast
50,6120,7,5,SoldFast
190,7420,5,6,SoldSlow
20,11200,5,5,SoldSlow
60,11924,9,5,SoldFast
20,12968,5,6,SoldSlow
20,10652,7,5,SoldFast
20,10920,6,5,SoldFast
45,6120,7,8,SoldFast
20,11241,6,7,SoldFast
90,10791,4,5,SoldSlow
20,13695,5,5,SoldSlow
20,7560,5,6,SoldSlow
60,14215,8,5,SoldFast
45,7449,7,7,SoldFast
20,9742,8,5,SoldFast
120,4224,5,7,SoldSlow
20,8246,5,8,SoldSlow
20,14230,8,5,SoldFast
20,7200,5,7,SoldSlow
20,11478,8,5,SoldFast
20,16321,5,6,SoldSlow
30,6324,4,6,SoldSlow
70,8500,4,4,SoldSlow
20,8544,5,6,SoldSlow
20,11049,8,5,SoldFast
20,10552,5,5,SoldSlow
120,7313,9,5,SoldFast
60,13418,8,5,SoldFast
20,10859,5,5,SoldSlow
20,8532,5,6,SoldSlow
20,7922,5,7,SoldSlow
90,6040,4,5,SoldSlow
20,8658,6,5,SoldFast
20,16905,5,6,SoldSlow
85,9180,5,7,SoldSlow
20,9200,5,6,SoldSlow
20,7945,5,6,SoldSlow
120,7658,9,5,SoldFast
50,12822,7,5,SoldFast
20,11096,8,5,SoldFast
190,4456,4,5,SoldSlow
20,7742,5,7,SoldSlow
60,13869,6,6,SoldFast
50,6240,6,6,SoldFast
90,8472,5,5,SoldSlow
20,50271,9,5,NotSold
80,7134,5,5,SoldSlow
20,10175,6,5,SoldFast
160,2645,8,5,SoldFast
60,11645,7,5,SoldFast
60,13682,10,5,SoldSlow
20,7200,5,7,SoldSlow
20,13072,6,5,SoldFast
75,7200,5,7,SoldSlow
120,6442,8,5,SoldFast
70,10300,7,6,SoldFast
60,9375,7,5,SoldFast
60,9591,8,5,SoldFast
20,19900,7,5,SoldFast
20,10665,7,5,SoldFast
30,4608,4,6,SoldSlow
50,15593,7,4,SoldSlow
20,13651,7,6,SoldFast
20,7599,4,6,SoldSlow
60,10141,7,5,SoldFast
20,10200,5,7,SoldSlow
50,5790,3,6,SoldSlow
180,1596,4,5,SoldSlow
20,8475,4,7,SoldSlow
50,8635,5,5,SoldSlow
90,10778,4,5,SoldSlow
50,10440,5,6,SoldSlow
60,13000,6,6,SoldSlow
120,4500,6,5,SoldFast
20,10206,8,5,SoldFast
20,8892,5,5,SoldSlow
80,8530,7,5,SoldFast
60,16059,8,5,SoldFast
60,11911,6,5,SoldFast
160,3951,6,5,SoldSlow
50,8470,3,2,SoldSlow
20,8070,4,5,SoldSlow
20,7200,4,5,SoldSlow
20,8500,5,3,SoldSlow
30,13360,5,7,SoldSlow
190,7200,6,6,SoldSlow
60,9337,6,5,SoldFast
60,9765,6,8,SoldFast
20,10264,7,5,SoldFast
20,10921,4,5,SoldSlow
30,10625,5,5,SoldSlow
20,9320,4,5,SoldSlow
20,10603,6,7,SoldFast
60,9206,6,5,SoldFast
90,7018,5,5,SoldSlow
20,10402,7,5,SoldFast
50,7758,7,4,SoldFast
60,9375,8,5,SoldFast
30,10800,4,7,SoldSlow
20,6000,5,5,SoldSlow
50,8500,5,7,SoldSlow
20,11751,6,6,SoldFast
50,9525,6,4,SoldFast
80,7750,7,5,SoldFast
60,9965,7,5,SoldSlow
20,21000,6,5,SoldSlow
70,7259,6,8,SoldSlow
160,3230,6,5,SoldFast
20,11616,5,5,SoldSlow
20,8536,5,5,SoldSlow
60,12376,7,5,SoldSlow
60,8461,6,5,SoldFast
80,21453,6,5,SoldFast
50,6060,4,5,SoldSlow
20,9464,6,7,SoldFast
120,7892,6,5,SoldSlow
20,17043,6,5,SoldFast
190,6780,6,8,SoldSlow
120,4928,6,5,SoldSlow
45,4388,5,7,SoldSlow
60,7590,6,5,SoldFast
20,8973,5,7,SoldSlow
60,14200,7,6,SoldFast
60,12224,6,5,SoldSlow
20,7388,5,6,SoldSlow
20,6853,8,5,SoldFast
20,10335,5,6,SoldSlow
20,10400,7,6,SoldFast
20,10355,5,5,SoldSlow
90,11070,7,5,SoldFast
60,9066,8,5,SoldFast
60,15426,6,5,SoldFast
20,10500,4,5,SoldSlow
20,11645,7,5,SoldFast
50,8520,5,4,SoldSlow
20,10335,7,5,SoldFast
90,9100,5,5,SoldSlow
160,2522,6,5,SoldSlow
30,6120,5,7,SoldSlow
60,9505,7,5,SoldFast
20,7500,7,5,SoldFast
50,6240,5,4,SoldSlow
20,10356,5,6,SoldSlow
20,13891,8,5,SoldFast
60,14803,6,5,SoldSlow
20,13500,6,7,SoldFast
30,11340,6,5,SoldFast
50,9600,6,5,SoldFast
20,7200,5,7,SoldSlow
60,12003,8,5,SoldFast
60,12552,7,5,SoldFast
60,19378,7,5,SoldSlow
20,11120,6,6,SoldFast
60,13688,9,5,SoldFast
20,12182,7,5,SoldFast
45,5500,4,6,SoldSlow
40,5400,6,7,SoldFast
190,10106,5,7,SoldSlow
20,10708,5,5,SoldSlow
60,10562,8,5,SoldFast
60,8244,7,5,SoldFast
20,16669,8,6,SoldFast
50,12358,5,6,SoldSlow
20,31770,6,5,SoldFast
160,5306,7,7,SoldFast
20,10197,6,5,SoldFast
20,12416,6,5,SoldFast
20,12615,6,7,SoldSlow
60,10029,6,5,SoldSlow
50,13650,5,5,SoldSlow
20,17423,9,5,SoldFast
30,8520,5,6,SoldSlow
160,2117,6,5,SoldSlow
70,7588,7,6,SoldFast
20,9060,5,6,SoldSlow
50,11426,7,5,SoldFast
50,7438,5,8,SoldSlow
75,22950,10,9,SoldSlow
80,9947,7,5,SoldFast
50,10410,5,7,SoldSlow
90,7018,5,5,NotSold
120,4923,8,5,SoldFast
70,10570,8,8,SoldSlow
60,7472,7,9,SoldFast
20,9017,7,5,SoldFast
160,2522,7,5,SoldFast
20,7180,5,7,SoldSlow
160,2280,6,6,SoldSlow
20,9416,7,5,SoldFast
75,25419,8,4,SoldSlow
75,5520,6,6,SoldSlow
20,9591,8,5,SoldFast
20,8546,4,5,SoldSlow
20,10125,6,6,SoldFast
50,7000,6,6,SoldFast
120,4438,6,5,SoldSlow
50,3500,5,7,SoldSlow
20,11851,7,5,SoldFast
20,13673,5,5,SoldSlow
